date,home_team,away_team,score
28-10-2023,M''gladbach,Heidenheim,6 - 4
05-11-2023,Heidenheim,Stuttgart,9 - 5
11-11-2023,Bayern Munich,Heidenheim,7 - 2
26-11-2023,Heidenheim,Bochum,6 - 5
02-12-2023,RB Leipzig,Heidenheim,5 - 3
09-12-2023,Heidenheim,Darmstadt,-
19-08-2023,Hoffenheim,Freiburg,4 - 2
26-08-2023,Heidenheim,Hoffenheim,10 - 6
02-09-2023,Hoffenheim,Wolfsburg,3 - 3
16-09-2023,FC Koln,Hoffenheim,13 - 4
23-09-2023,Union Berlin,Hoffenheim,11 - 6
29-09-2023,Hoffenheim,Dortmund,4 - 3
07-10-2023,Werder Bremen,Hoffenheim,4 - 4
21-10-2023,Hoffenheim,Ein Frankfurt,6 - 3
28-10-2023,Stuttgart,Hoffenheim,6 - 0
04-11-2023,Hoffenheim,Leverkusen,4 - 3
11-11-2023,Augsburg,Hoffenheim,3 - 5
26-11-2023,Hoffenheim,Mainz,4 - 5
02-12-2023,M''gladbach,Hoffenheim,6 - 3
08-12-2023,Hoffenheim,Bochum,4 - 5
19-08-2023,Leverkusen,RB Leipzig,4 - 5
26-08-2023,M''gladbach,Leverkusen,5 - 8
02-09-2023,Leverkusen,Darmstadt,4 - 2
15-09-2023,Bayern Munich,Leverkusen,7 - 4
24-09-2023,Leverkusen,Heidenheim,7 - 2
30-09-2023,Mainz,Leverkusen,3 - 1
08-10-2023,Leverkusen,FC Koln,11 - 4
21-10-2023,Wolfsburg,Leverkusen,4 - 3
29-10-2023,Leverkusen,Freiburg,11 - 4
04-11-2023,Hoffenheim,Leverkusen,4 - 3
12-11-2023,Leverkusen,Union Berlin,10 - 1
25-11-2023,Werder Bremen,Leverkusen,1 - 6
03-12-2023,Leverkusen,Dortmund,16 - 1
10-12-2023,Stuttgart,Leverkusen,-
19-08-2023,Augsburg,M''gladbach,8 - 7
26-08-2023,M''gladbach,Leverkusen,5 - 8
02-09-2023,M''gladbach,Bayern Munich,1 - 15
17-09-2023,Darmstadt,M''gladbach,6 - 6
23-09-2023,M''gladbach,RB Leipzig,11 - 6
30-09-2023,Bochum,M''gladbach,5 - 10
06-10-2023,M''gladbach,Mainz,10 - 3
22-10-2023,FC Koln,M''gladbach,8 - 3
28-10-2023,M''gladbach,Heidenheim,6 - 4
04-11-2023,Freiburg,M''gladbach,8 - 2
10-11-2023,M''gladbach,Wolfsburg,8 - 5
25-11-2023,Dortmund,M''gladbach,5 - 4
02-12-2023,M''gladbach,Hoffenheim,6 - 3
09-12-2023,Union Berlin,M''gladbach,-
20-08-2023,Union Berlin,Mainz,3 - 1
27-08-2023,Mainz,Ein Frankfurt,5 - 4
02-09-2023,Werder Bremen,Mainz,1 - 7
16-09-2023,Mainz,Stuttgart,6 - 4
23-09-2023,Augsburg,Mainz,3 - 4
30-09-2023,Mainz,Leverkusen,3 - 1
06-10-2023,M''gladbach,Mainz,10 - 3
21-10-2023,Mainz,Bayern Munich,2 - 7
27-10-2023,Bochum,Mainz,5 - 4
04-11-2023,Mainz,RB Leipzig,2 - 7
11-11-2023,Darmstadt,Mainz,0 - 5
26-11-2023,Hoffenheim,Mainz,4 - 5
03-12-2023,Mainz,Freiburg,14 - 3
10-12-2023,FC Koln,Mainz,-
19-08-2023,Leverkusen,RB Leipzig,4 - 5
25-08-2023,RB Leipzig,Stuttgart,4 - 4
03-09-2023,Union Berlin,RB Leipzig,3 - 7
16-09-2023,RB Leipzig,Augsburg,1 - 6
23-09-2023,M''gladbach,RB Leipzig,11 - 6
30-09-2023,RB Leipzig,Bayern Munich,5 - 1
07-10-2023,RB Leipzig,Bochum,9 - 1
21-10-2023,Darmstadt,RB Leipzig,6 - 0
28-10-2023,RB Leipzig,FC Koln,11 - 1
04-11-2023,Mainz,RB Leipzig,2 - 7
12-11-2023,RB Leipzig,Freiburg,7 - 3
25-11-2023,Wolfsburg,RB Leipzig,1 - 12
02-12-2023,RB Leipzig,Heidenheim,5 - 3
09-12-2023,Dortmund,RB Leipzig,-
19-08-2023,Stuttgart,Bochum,6 - 0
25-08-2023,RB Leipzig,Stuttgart,4 - 4
02-09-2023,Stuttgart,Freiburg,2 - 4
16-09-2023,Mainz,Stuttgart,6 - 4
22-09-2023,Stuttgart,Darmstadt,5 - 4
30-09-2023,FC Koln,Stuttgart,8 - 4
07-10-2023,Stuttgart,Wolfsburg,5 - 6
21-10-2023,Union Berlin,Stuttgart,4 - 2
28-10-2023,Stuttgart,Hoffenheim,6 - 0
05-11-2023,Heidenheim,Stuttgart,9 - 5
11-11-2023,Stuttgart,Dortmund,6 - 1
25-11-2023,Ein Frankfurt,Stuttgart,4 - 2
02-12-2023,Stuttgart,Werder Bremen,6 - 7
10-12-2023,Stuttgart,Leverkusen,-
20-08-2023,Union Berlin,Mainz,3 - 1
26-08-2023,Darmstadt,Union Berlin,3 - 5
03-09-2023,Union Berlin,RB Leipzig,3 - 7
16-09-2023,Wolfsburg,Union Berlin,3 - 7
23-09-2023,Union Berlin,Hoffenheim,11 - 6
30-09-2023,Heidenheim,Union Berlin,5 - 7
07-10-2023,Dortmund,Union Berlin,4 - 6
21-10-2023,Union Berlin,Stuttgart,4 - 2
28-10-2023,Werder Bremen,Union Berlin,3 - 3
04-11-2023,Union Berlin,Ein Frankfurt,9 - 1
12-11-2023,Leverkusen,Union Berlin,10 - 1
25-11-2023,Union Berlin,Augsburg,3 - 4
09-12-2023,Union Berlin,M''gladbach,-
18-08-2023,Werder Bremen,Bayern Munich,0 - 6
26-08-2023,Freiburg,Werder Bremen,5 - 5
02-09-2023,Werder Bremen,Mainz,1 - 7
17-09-2023,Heidenheim,Werder Bremen,10 - 1
23-09-2023,Werder Bremen,FC Koln,9 - 8
01-10-2023,Darmstadt,Werder Bremen,2 - 4
07-10-2023,Werder Bremen,Hoffenheim,4 - 4
20-10-2023,Dortmund,Werder Bremen,10 - 4
28-10-2023,Werder Bremen,Union Berlin,3 - 3
05-11-2023,Wolfsburg,Werder Bremen,5 - 2
12-11-2023,Werder Bremen,Ein Frankfurt,3 - 7
25-11-2023,Werder Bremen,Leverkusen,1 - 6
02-12-2023,Stuttgart,Werder Bremen,6 - 7
09-12-2023,Werder Bremen,Augsburg,-
19-08-2023,Wolfsburg,Heidenheim,1 - 7
26-08-2023,FC Koln,Wolfsburg,6 - 1
02-09-2023,Hoffenheim,Wolfsburg,3 - 3
16-09-2023,Wolfsburg,Union Berlin,3 - 7
23-09-2023,Dortmund,Wolfsburg,5 - 3
30-09-2023,Wolfsburg,Ein Frankfurt,7 - 4
07-10-2023,Stuttgart,Wolfsburg,5 - 6
21-10-2023,Wolfsburg,Leverkusen,4 - 3
28-10-2023,Augsburg,Wolfsburg,5 - 5
05-11-2023,Wolfsburg,Werder Bremen,5 - 2
10-11-2023,M''gladbach,Wolfsburg,8 - 5
25-11-2023,Wolfsburg,RB Leipzig,1 - 12
02-12-2023,Bochum,Wolfsburg,6 - 6
09-12-2023,Wolfsburg,Freiburg,-
